x,y,label,class_name,pred,pred_class,correct
-3.789304,15.815208,1,Bedrock,1,Bedrock,1
11.865934,-15.017432,1,Bedrock,1,Bedrock,1
-3.390086,13.642245,1,Bedrock,1,Bedrock,1
-8.492291,15.051617,1,Bedrock,1,Bedrock,1
-13.593795,14.384207,0,Soil,0,Soil,1
-12.990645,14.679921,0,Soil,0,Soil,1
-1.417132,-9.631365,0,Soil,0,Soil,1
-13.083070,0.468810,0,Soil,0,Soil,1
12.387368,-12.152364,0,Soil,0,Soil,1
-0.690327,-8.523181,0,Soil,0,Soil,1
13.394407,-17.766483,0,Soil,0,Soil,1
0.762693,-6.839714,0,Soil,0,Soil,1
-17.840160,6.265092,0,Soil,0,Soil,1
-12.404118,-2.453760,0,Soil,0,Soil,1
-0.053512,-17.877317,0,Soil,0,Soil,1
0.637188,-11.593767,0,Soil,0,Soil,1
-11.746448,2.767609,0,Soil,0,Soil,1
-2.098927,-17.200989,0,Soil,0,Soil,1
0.589868,-12.548322,0,Soil,0,Soil,1
-11.639334,2.041433,0,Soil,0,Soil,1
-2.207246,-6.968977,0,Soil,0,Soil,1
-14.989640,5.991011,0,Soil,0,Soil,1
-14.603446,2.929015,0,Soil,0,Soil,1
-1.366492,-12.101256,0,Soil,0,Soil,1
-3.413502,-11.102904,0,Soil,0,Soil,1
-15.656067,6.564985,0,Soil,0,Soil,1
-10.345880,-0.893960,0,Soil,0,Soil,1
-2.166293,-8.379748,0,Soil,0,Soil,1
-7.662928,11.392146,1,Bedrock,1,Bedrock,1
-2.020391,10.481471,1,Bedrock,1,Bedrock,1
12.002796,-2.950830,1,Bedrock,1,Bedrock,1
-8.478568,11.869672,1,Bedrock,1,Bedrock,1
-1.675431,-4.516379,1,Bedrock,0,Soil,0
-13.573307,13.071934,0,Soil,0,Soil,1
-14.561311,9.150929,0,Soil,0,Soil,1
-2.777951,-17.441135,0,Soil,0,Soil,1
2.187487,-14.608699,0,Soil,0,Soil,1
-3.338131,-8.120439,0,Soil,0,Soil,1
-10.203565,0.312321,0,Soil,0,Soil,1
-8.019687,0.022382,0,Soil,0,Soil,1
16.090816,-4.835536,0,Soil,0,Soil,1
-12.494896,3.914021,0,Soil,0,Soil,1
13.406344,-16.919231,0,Soil,0,Soil,1
-1.417195,-7.408837,0,Soil,0,Soil,1
-13.039869,8.947761,0,Soil,0,Soil,1
15.161925,-4.215755,0,Soil,0,Soil,1
-12.491961,10.010617,0,Soil,0,Soil,1
-3.012492,-16.045746,0,Soil,0,Soil,1
2.397923,-15.515906,0,Soil,0,Soil,1
1.673779,-8.257361,0,Soil,2,Sand,0
16.065718,-5.121753,0,Soil,0,Soil,1
7.908350,-16.511606,0,Soil,0,Soil,1
-2.487552,-7.949742,0,Soil,0,Soil,1
-15.051970,5.388291,0,Soil,0,Soil,1
-17.176958,9.507814,0,Soil,0,Soil,1
-2.683193,-18.013090,0,Soil,0,Soil,1
1.342880,-14.844985,0,Soil,0,Soil,1
-14.204828,2.249642,0,Soil,0,Soil,1
15.127670,-4.633837,0,Soil,0,Soil,1
-10.893066,3.849655,0,Soil,0,Soil,1
7.915469,-16.465279,0,Soil,0,Soil,1
-3.476126,-8.783414,0,Soil,0,Soil,1
-8.108688,1.519221,0,Soil,0,Soil,1
-15.395910,8.558995,0,Soil,0,Soil,1
-14.779947,9.646104,0,Soil,0,Soil,1
-1.986786,-18.573982,0,Soil,0,Soil,1
-13.437871,3.614448,0,Soil,0,Soil,1
-7.743551,2.389922,0,Soil,0,Soil,1
-8.596016,-2.919062,0,Soil,0,Soil,1
-16.238115,8.532585,0,Soil,0,Soil,1
1.883063,-17.510180,0,Soil,0,Soil,1
-12.873093,5.318632,0,Soil,0,Soil,1
-2.646574,-8.783198,0,Soil,0,Soil,1
-10.177121,-1.571693,0,Soil,0,Soil,1
13.920296,-4.036858,0,Soil,0,Soil,1
-16.331034,5.439622,0,Soil,0,Soil,1
-16.870888,3.379328,0,Soil,0,Soil,1
-15.179403,7.205523,0,Soil,0,Soil,1
-15.805074,7.539339,0,Soil,0,Soil,1
-17.169077,2.876231,0,Soil,0,Soil,1
2.795191,-18.225592,0,Soil,0,Soil,1
-16.547886,4.022057,0,Soil,0,Soil,1
-13.282677,2.535440,0,Soil,0,Soil,1
13.198002,-3.600472,0,Soil,0,Soil,1
-17.013901,5.158030,0,Soil,0,Soil,1
-0.254671,-6.912787,0,Soil,0,Soil,1
11.457675,-14.333203,2,Sand,2,Sand,1
6.501672,8.439096,2,Sand,2,Sand,1
-6.821784,2.530668,2,Sand,2,Sand,1
6.444982,5.330020,2,Sand,2,Sand,1
13.577536,-0.484963,2,Sand,2,Sand,1
2.318305,-6.401694,2,Sand,2,Sand,1
6.900991,6.078412,2,Sand,2,Sand,1
15.689751,-3.860895,0,Soil,0,Soil,1
-0.837204,-18.156141,0,Soil,0,Soil,1
-1.491653,-11.796038,0,Soil,0,Soil,1
-14.003986,12.679685,0,Soil,0,Soil,1
-2.829304,-7.417489,0,Soil,0,Soil,1
-3.081656,14.264380,1,Bedrock,1,Bedrock,1
1.929962,-3.853301,2,Sand,1,Bedrock,0
-0.770305,14.203624,1,Bedrock,1,Bedrock,1
-1.354260,15.777371,1,Bedrock,1,Bedrock,1
12.707358,-5.177001,1,Bedrock,1,Bedrock,1
-8.325892,12.926904,1,Bedrock,1,Bedrock,1
4.362159,-15.947018,1,Bedrock,1,Bedrock,1
3.887807,-12.885480,2,Sand,2,Sand,1
1.390490,-5.260140,2,Sand,2,Sand,1
-13.629191,7.302711,0,Soil,0,Soil,1
-14.571401,1.431303,0,Soil,0,Soil,1
14.010549,-4.749775,0,Soil,0,Soil,1
-13.778340,8.243006,0,Soil,0,Soil,1
-0.209127,-3.131930,1,Bedrock,1,Bedrock,1
-6.237376,13.907182,1,Bedrock,1,Bedrock,1
-6.573953,11.147169,1,Bedrock,1,Bedrock,1
-1.540119,15.159968,1,Bedrock,1,Bedrock,1
0.754529,10.847215,2,Sand,1,Bedrock,0
11.700192,-2.755318,1,Bedrock,1,Bedrock,1
-6.815676,10.766319,1,Bedrock,1,Bedrock,1
0.572339,9.213437,2,Sand,2,Sand,1
0.885545,13.546947,1,Bedrock,1,Bedrock,1
-0.274149,8.106957,2,Sand,2,Sand,1
-0.100619,-2.331097,1,Bedrock,1,Bedrock,1
0.716148,11.868546,1,Bedrock,1,Bedrock,1
14.246774,-2.314092,2,Sand,2,Sand,1
0.050435,9.282606,1,Bedrock,1,Bedrock,1
-7.250793,10.259585,2,Sand,1,Bedrock,0
0.201375,-18.747225,2,Sand,2,Sand,1
-4.468444,14.525249,1,Bedrock,1,Bedrock,1
8.051547,-15.722084,1,Bedrock,1,Bedrock,1
-3.126531,15.134876,1,Bedrock,1,Bedrock,1
9.807913,-3.643837,1,Bedrock,1,Bedrock,1
-11.448157,11.487687,1,Bedrock,1,Bedrock,1
-9.570444,12.967469,1,Bedrock,1,Bedrock,1
-7.981547,16.376198,1,Bedrock,1,Bedrock,1
10.022589,-11.084929,2,Sand,2,Sand,1
2.100202,10.425982,2,Sand,2,Sand,1
7.631684,-9.334203,2,Sand,2,Sand,1
12.061138,-0.748394,2,Sand,2,Sand,1
3.282444,-5.641066,2,Sand,2,Sand,1
6.989944,8.724857,2,Sand,2,Sand,1
